Portfolio Code,Portfolio Name,Trade Date,Trade Identifier,Trade Quantity,Trade Price,Trade Currency
ussmall1,US Small Cap,18/01/2012,3649,180,19.47,USD
ussmall1,US Small Cap,19/01/2012,3653,54,19.87,USD
ussmall1,US Small Cap,23/01/2012,3656,286,20.03,USD
ussmall1,US Small Cap,01/02/2012,3668,340,18.44,USD
ussmall1,US Small Cap,06/02/2012,3671,60,18.3,USD
ussmall1,US Small Cap,17/02/2012,3686,280,19.95,USD
ussmall1,US Small Cap,28/02/2012,3695,290,19.03,USD
ussmall1,US Small Cap,04/04/2012,3766,340,18.25,USD
ussmall1,US Small Cap,17/04/2012,3791,150,16.78,USD
ussmall1,US Small Cap,18/04/2012,3792,140,16.5,USD
ussmall1,US Small Cap,27/07/2012,3945,-260,19.35,USD
ussmall1,US Small Cap,09/11/2012,4107,330,16.4,USD
ussmall1,US Small Cap,08/01/2013,4233,240,17.24,USD
ussmall1,US Small Cap,09/01/2013,4236,10,17.2,USD
ussmall1,US Small Cap,10/01/2013,4237,130,17.31,USD
ussmall1,US Small Cap,25/07/2014,4935,120,21.62,USD
ussmall1,US Small Cap,28/07/2014,4936,390,21.56,USD
ussmall1,US Small Cap,11/08/2015,5620,790,14.27,USD
ussmall1,US Small Cap,02/09/2015,5667,290,12.81,USD
ussmall1,US Small Cap,24/11/2015,5788,-570,12.29,USD
ussmall1,US Small Cap,25/11/2015,5796,-280,12.55,USD
ussmall1,US Small Cap,28/12/2015,5856,250,10.82,USD
ussmall1,US Small Cap,29/12/2015,5861,370,10.87,USD
ussmall1,US Small Cap,30/12/2015,5865,130,11.4,USD
ussmall1,US Small Cap,09/03/2016,6053,1020,8.56,USD
ussmall1,US Small Cap,11/03/2016,6057,1110,7.71,USD
ussmall1,US Small Cap,20/04/2016,6115,650,7.6,USD
ussmall1,US Small Cap,21/04/2016,6117,600,7.61,USD
ussmall1,US Small Cap,19/08/2016,6312,-10,10.4,USD
ussmall1,US Small Cap,23/08/2016,6317,-480,10.39,USD
ussmall1,US Small Cap,24/08/2016,6321,-50,10.4,USD
ussmall1,US Small Cap,01/09/2016,6342,-90,10.06,USD
ussmall1,US Small Cap,02/09/2016,6348,-260,10.12,USD
ussmall1,US Small Cap,11/09/2017,7158,340,7.7,USD
ussmall1,US Small Cap,12/09/2017,7162,190,7.86,USD
ussmall1,US Small Cap,13/09/2017,7166,410,7.96,USD
ussmall1,US Small Cap,14/09/2017,7171,410,7.98,USD
ussmall1,US Small Cap,15/09/2017,7173,160,8.01,USD
ussmall1,US Small Cap,18/09/2017,7176,70,8.01,USD
ussmall1,US Small Cap,19/09/2017,7178,110,8.21,USD
ussmall1,US Small Cap,20/09/2017,7182,100,8.22,USD
ussmall1,US Small Cap,06/12/2017,7300,280,7.72,USD
ussmall1,US Small Cap,07/12/2017,7301,300,7.85,USD
ussmall1,US Small Cap,14/12/2017,7313,320,7.86,USD
ussmall1,US Small Cap,03/01/2018,7326,500,8.32,USD
ussmall1,US Small Cap,06/02/2018,7386,570,8.31,USD
ussmall1,US Small Cap,07/02/2018,7390,370,8.35,USD
ussmall1,US Small Cap,08/02/2018,7393,410,8.35,USD
ussmall1,US Small Cap,10/07/2018,7614,-1220,14.56,USD
ussmall1,US Small Cap,11/07/2018,7616,-40,14.5,USD
ussmall1,US Small Cap,12/07/2018,7619,-20,14.45,USD
ussmall1,US Small Cap,13/07/2018,7621,-40,14.48,USD
ussmall1,US Small Cap,17/07/2018,7654,-50,14.18,USD
ussmall1,US Small Cap,23/07/2018,7658,-40,14.18,USD
ussmall1,US Small Cap,24/07/2018,7660,-10,14.3,USD
ussmall1,US Small Cap,01/08/2018,7677,-1210,14.76,USD
ussmall1,US Small Cap,02/08/2018,7680,-1010,14.77,USD
ussmall1,US Small Cap,09/08/2018,7689,-80,16.19,USD
ussmall1,US Small Cap,10/08/2018,7691,-180,15.8,USD
ussmall1,US Small Cap,13/08/2018,7694,-220,15.58,USD
ussmall1,US Small Cap,14/08/2018,7696,-700,15.51,USD
ussmall1,US Small Cap,15/08/2018,7696,-6270,14.87,USD